"nom_ministro","sig_classe_proces","total_decs"
"MIN. RICARDO LEWANDOWSKI","AO","244"
"MIN. RICARDO LEWANDOWSKI","AI","27420"
"MIN. RICARDO LEWANDOWSKI","ADPF","82"
"MIN. RICARDO LEWANDOWSKI","ADO","4"
"MIN. RICARDO LEWANDOWSKI","ADI","321"
"MIN. RICARDO LEWANDOWSKI","ADC","7"
"MIN. RICARDO LEWANDOWSKI","ACO","605"
"MIN. RICARDO LEWANDOWSKI","AC","435"
"MIN. SEPÚLVEDA PERTENCE","STA","1"
"MIN. SEPÚLVEDA PERTENCE","SS","3"
"MIN. SEPÚLVEDA PERTENCE","SL","2"
"MIN. SEPÚLVEDA PERTENCE","SEC","37"
"MIN. SEPÚLVEDA PERTENCE","RvC","19"
"MIN. SEPÚLVEDA PERTENCE","Rcl","834"
"MIN. SEPÚLVEDA PERTENCE","RMS","64"
"MIN. SEPÚLVEDA PERTENCE","RHC","79"
"MIN. SEPÚLVEDA PERTENCE","RE","35127"
"MIN. SEPÚLVEDA PERTENCE","Pet","316"
"MIN. SEPÚLVEDA PERTENCE","PPE","39"
"MIN. SEPÚLVEDA PERTENCE","MS","581"
"MIN. SEPÚLVEDA PERTENCE","MI","27"
"MIN. SEPÚLVEDA PERTENCE","Inq","196"
"MIN. SEPÚLVEDA PERTENCE","HD","6"
"MIN. SEPÚLVEDA PERTENCE","HC","2159"
"MIN. SEPÚLVEDA PERTENCE","Ext","124"
"MIN. SEPÚLVEDA PERTENCE","ES","1"
"MIN. SEPÚLVEDA PERTENCE","CC","29"
"MIN. SEPÚLVEDA PERTENCE","ARv","1"
"MIN. SEPÚLVEDA PERTENCE","AR","210"
"MIN. SEPÚLVEDA PERTENCE","AP","7"
"MIN. SEPÚLVEDA PERTENCE","AOE","4"
"MIN. SEPÚLVEDA PERTENCE","AO","93"
"MIN. SEPÚLVEDA PERTENCE","AI","49939"
"MIN. SEPÚLVEDA PERTENCE","ADPF","29"
"MIN. SEPÚLVEDA PERTENCE","ADI","342"
"MIN. SEPÚLVEDA PERTENCE","ACO","121"
"MIN. SEPÚLVEDA PERTENCE","AC","290"
"MIN. SYDNEY SANCHES","SEC","32"
"MIN. SYDNEY SANCHES","RvC","20"
"MIN. SYDNEY SANCHES","Rcl","197"
"MIN. SYDNEY SANCHES","RMS","26"
"MIN. SYDNEY SANCHES","RHC","14"
"MIN. SYDNEY SANCHES","RE","16813"
"MIN. SYDNEY SANCHES","Pet","199"
"MIN. SYDNEY SANCHES","PPE","76"
"MIN. SYDNEY SANCHES","MS","233"
"MIN. SYDNEY SANCHES","MI","15"
"MIN. SYDNEY SANCHES","Inq","179"
"MIN. SYDNEY SANCHES","HD","1"
"MIN. SYDNEY SANCHES","HC","829"
"MIN. SYDNEY SANCHES","Ext","119"
"MIN. SYDNEY SANCHES","CC","8"
"MIN. SYDNEY SANCHES","AR","192"
"MIN. SYDNEY SANCHES","AOE","4"
"MIN. SYDNEY SANCHES","AO","43"
"MIN. SYDNEY SANCHES","AI","28483"
"MIN. SYDNEY SANCHES","ADPF","1"
"MIN. SYDNEY SANCHES","ADI","276"
"MIN. SYDNEY SANCHES","ADC","2"
"MIN. SYDNEY SANCHES","ACO","49"
"MIN. SYDNEY SANCHES","AC","3"
"MINISTRO PRESIDENTE","STA","454"
"MINISTRO PRESIDENTE","SS","1816"
"MINISTRO PRESIDENTE","SL","316"
"MINISTRO PRESIDENTE","SEC","33"
"MINISTRO PRESIDENTE","SE","2932"
"MINISTRO PRESIDENTE","RvC","4"
"MINISTRO PRESIDENTE","Rcl","749"
"MINISTRO PRESIDENTE","RMS","15"
"MINISTRO PRESIDENTE","RMI","1"
"MINISTRO PRESIDENTE","RHC","17"
"MINISTRO PRESIDENTE","RE","1777"
"MINISTRO PRESIDENTE","Pet","287"
"MINISTRO PRESIDENTE","PSV","19"
"MINISTRO PRESIDENTE","PPE","31"
"MINISTRO PRESIDENTE","PETAV","2"
"MINISTRO PRESIDENTE","PETA","12"
"MINISTRO PRESIDENTE","MS","745"
"MINISTRO PRESIDENTE","MI","212"
"MINISTRO PRESIDENTE","Inq","54"
"MINISTRO PRESIDENTE","IF","2426"
"MINISTRO PRESIDENTE","HD","6"
"MINISTRO PRESIDENTE","HC","2369"
"MINISTRO PRESIDENTE","Ext","126"
"MINISTRO PRESIDENTE","CR","3731"
"MINISTRO PRESIDENTE","CC","17"
"MINISTRO PRESIDENTE","AS","19"
"MINISTRO PRESIDENTE","ARv","1"
"MINISTRO PRESIDENTE","ARE","324"
"MINISTRO PRESIDENTE","AR","60"
"MINISTRO PRESIDENTE","AP","21"
"MINISTRO PRESIDENTE","AOE","4"
"MINISTRO PRESIDENTE","AO","32"
"MINISTRO PRESIDENTE","AImp","3"
"MINISTRO PRESIDENTE","AI","21137"
"MINISTRO PRESIDENTE","ADPF","12"
"MINISTRO PRESIDENTE","ADI","166"
"MINISTRO PRESIDENTE","ADC","2"
"MINISTRO PRESIDENTE","ACO","76"
"MINISTRO PRESIDENTE","AC","177"
"VICE-PRESIDENTE","STA","1"
"VICE-PRESIDENTE","SS","4"
"VICE-PRESIDENTE","SL","4"
"VICE-PRESIDENTE","Rcl","2"
"VICE-PRESIDENTE","MS","4"
"VICE-PRESIDENTE","HC","8"
"VICE-PRESIDENTE","ADI","1"
