"nom_ministro","sig_classe_proces","total_decs"
"MIN. CÁRMEN LÚCIA","Inq","24"
"MIN. CÁRMEN LÚCIA","HD","4"
"MIN. CÁRMEN LÚCIA","HC","2503"
"MIN. CÁRMEN LÚCIA","Ext","61"
"MIN. CÁRMEN LÚCIA","CC","92"
"MIN. CÁRMEN LÚCIA","ARE","226"
"MIN. CÁRMEN LÚCIA","AR","117"
"MIN. CÁRMEN LÚCIA","AP","29"
"MIN. CÁRMEN LÚCIA","AO","78"
"MIN. CÁRMEN LÚCIA","AI","27065"
"MIN. CÁRMEN LÚCIA","ADPF","51"
"MIN. CÁRMEN LÚCIA","ADO","3"
"MIN. CÁRMEN LÚCIA","ADI","200"
"MIN. CÁRMEN LÚCIA","ADC","3"
"MIN. CÁRMEN LÚCIA","ACO","258"
"MIN. CÁRMEN LÚCIA","AC","303"
"MIN. DIAS TOFFOLI","SL","1"
"MIN. DIAS TOFFOLI","RvC","1"
"MIN. DIAS TOFFOLI","Rcl","628"
"MIN. DIAS TOFFOLI","RMS","58"
"MIN. DIAS TOFFOLI","RHC","14"
"MIN. DIAS TOFFOLI","RE","4225"
"MIN. DIAS TOFFOLI","Pet","49"
"MIN. DIAS TOFFOLI","PPE","22"
"MIN. DIAS TOFFOLI","MS","347"
"MIN. DIAS TOFFOLI","MI","336"
"MIN. DIAS TOFFOLI","Inq","108"
"MIN. DIAS TOFFOLI","HC","1597"
"MIN. DIAS TOFFOLI","Ext","101"
"MIN. DIAS TOFFOLI","EI","1"
"MIN. DIAS TOFFOLI","CC","19"
"MIN. DIAS TOFFOLI","ARE","93"
"MIN. DIAS TOFFOLI","AR","115"
"MIN. DIAS TOFFOLI","AP","83"
"MIN. DIAS TOFFOLI","AOE","3"
"MIN. DIAS TOFFOLI","AO","16"
"MIN. DIAS TOFFOLI","AI","7807"
"MIN. DIAS TOFFOLI","ADPF","22"
"MIN. DIAS TOFFOLI","ADO","1"
"MIN. DIAS TOFFOLI","ADI","197"
"MIN. DIAS TOFFOLI","ADC","2"
"MIN. DIAS TOFFOLI","ACO","139"
"MIN. DIAS TOFFOLI","AC","119"
"MIN. ELLEN GRACIE","STA","329"
"MIN. ELLEN GRACIE","SS","1094"
"MIN. ELLEN GRACIE","SL","235"
"MIN. ELLEN GRACIE","SEC","44"
"MIN. ELLEN GRACIE","SE","30"
"MIN. ELLEN GRACIE","RvC","5"
"MIN. ELLEN GRACIE","Rcl","2025"
"MIN. ELLEN GRACIE","RMS","78"
"MIN. ELLEN GRACIE","RHC","70"
"MIN. ELLEN GRACIE","RE","28234"
"MIN. ELLEN GRACIE","Pet","430"
"MIN. ELLEN GRACIE","PSV","90"
"MIN. ELLEN GRACIE","PPE","51"
"MIN. ELLEN GRACIE","MS","1131"
"MIN. ELLEN GRACIE","MI","485"
"MIN. ELLEN GRACIE","Inq","189"
"MIN. ELLEN GRACIE","IF","328"
"MIN. ELLEN GRACIE","HD","7"
"MIN. ELLEN GRACIE","HC","3575"
"MIN. ELLEN GRACIE","Ext","208"
"MIN. ELLEN GRACIE","EL","2"
"MIN. ELLEN GRACIE","EI","1"
"MIN. ELLEN GRACIE","CR","2"
"MIN. ELLEN GRACIE","CC","49"
"MIN. ELLEN GRACIE","AS","8"
"MIN. ELLEN GRACIE","ARE","85"
"MIN. ELLEN GRACIE","AR","379"
"MIN. ELLEN GRACIE","AP","155"
"MIN. ELLEN GRACIE","AOE","13"
"MIN. ELLEN GRACIE","AO","155"
"MIN. ELLEN GRACIE","AImp","1"
"MIN. ELLEN GRACIE","AI","40691"
"MIN. ELLEN GRACIE","ADPF","41"
"MIN. ELLEN GRACIE","ADO","6"
"MIN. ELLEN GRACIE","ADI","499"
"MIN. ELLEN GRACIE","ADC","5"
"MIN. ELLEN GRACIE","ACO","285"
"MIN. ELLEN GRACIE","AC","515"
"MIN. EROS GRAU","SEC","7"
"MIN. EROS GRAU","RvC","2"
"MIN. EROS GRAU","Rcl","1611"
"MIN. EROS GRAU","RMS","72"
"MIN. EROS GRAU","RHC","103"
"MIN. EROS GRAU","RE","30841"
"MIN. EROS GRAU","Pet","298"
"MIN. EROS GRAU","PPE","31"
"MIN. EROS GRAU","MS","778"
"MIN. EROS GRAU","MI","533"
"MIN. EROS GRAU","Inq","194"
"MIN. EROS GRAU","HD","2"
"MIN. EROS GRAU","HC","3353"
"MIN. EROS GRAU","Ext","184"
"MIN. EROS GRAU","CC","89"
"MIN. EROS GRAU","AR","238"
"MIN. EROS GRAU","AP","88"
"MIN. EROS GRAU","AOE","6"
"MIN. EROS GRAU","AO","122"
"MIN. EROS GRAU","AI","28219"
"MIN. EROS GRAU","ADPF","57"
"MIN. EROS GRAU","ADO","1"
"MIN. EROS GRAU","ADI","428"
"MIN. EROS GRAU","ADC","1"
"MIN. EROS GRAU","ACO","216"
"MIN. EROS GRAU","AC","471"
"MIN. FRANCISCO REZEK","SEC","2"
"MIN. FRANCISCO REZEK","RvC","1"
"MIN. FRANCISCO REZEK","Rcl","6"
"MIN. FRANCISCO REZEK","RMS","1"
"MIN. FRANCISCO REZEK","RHC","1"
"MIN. FRANCISCO REZEK","RE","443"
"MIN. FRANCISCO REZEK","Pet","10"
"MIN. FRANCISCO REZEK","PPE","5"
"MIN. FRANCISCO REZEK","MS","20"
"MIN. FRANCISCO REZEK","MI","1"
"MIN. FRANCISCO REZEK","Inq","5"
"MIN. FRANCISCO REZEK","HD","1"
"MIN. FRANCISCO REZEK","HC","60"
"MIN. FRANCISCO REZEK","Ext","6"
"MIN. FRANCISCO REZEK","AR","4"
"MIN. FRANCISCO REZEK","AO","1"
"MIN. FRANCISCO REZEK","AI","1283"
"MIN. FRANCISCO REZEK","ADI","10"
"MIN. FRANCISCO REZEK","ACO","2"
"MIN. GILMAR MENDES","STA","4"
"MIN. GILMAR MENDES","SS","2"
"MIN. GILMAR MENDES","SEC","20"
"MIN. GILMAR MENDES","RvC","4"
"MIN. GILMAR MENDES","Rcl","1099"
"MIN. GILMAR MENDES","RMS","46"
"MIN. GILMAR MENDES","RMI","1"
"MIN. GILMAR MENDES","RHC","81"
"MIN. GILMAR MENDES","RE","31318"
"MIN. GILMAR MENDES","Pet","164"
"MIN. GILMAR MENDES","PPE","39"
"MIN. GILMAR MENDES","MS","735"
"MIN. GILMAR MENDES","MI","447"
"MIN. GILMAR MENDES","Inq","129"
"MIN. GILMAR MENDES","IF","102"
"MIN. GILMAR MENDES","HD","4"
"MIN. GILMAR MENDES","HC","2205"
"MIN. GILMAR MENDES","Ext","136"
"MIN. GILMAR MENDES","CC","98"
"MIN. GILMAR MENDES","AS","2"
"MIN. GILMAR MENDES","ARE","202"
"MIN. GILMAR MENDES","AR","103"
"MIN. GILMAR MENDES","AP","54"
"MIN. GILMAR MENDES","AOE","2"
"MIN. GILMAR MENDES","AO","65"
"MIN. GILMAR MENDES","AI","41228"
"MIN. GILMAR MENDES","ADPF","25"
"MIN. GILMAR MENDES","ADI","463"
"MIN. GILMAR MENDES","ADC","2"
"MIN. GILMAR MENDES","ACO","114"
"MIN. GILMAR MENDES","AC","318"
"MIN. ILMAR GALVÃO","STA","2"
"MIN. ILMAR GALVÃO","SS","26"
"MIN. ILMAR GALVÃO","SL","2"
"MIN. ILMAR GALVÃO","SEC","35"
"MIN. ILMAR GALVÃO","SE","1"
"MIN. ILMAR GALVÃO","RvC","21"
"MIN. ILMAR GALVÃO","Rcl","248"
"MIN. ILMAR GALVÃO","RMS","18"
"MIN. ILMAR GALVÃO","RHC","9"
"MIN. ILMAR GALVÃO","RE","14498"
"MIN. ILMAR GALVÃO","RC","1"
"MIN. ILMAR GALVÃO","Pet","204"
"MIN. ILMAR GALVÃO","PPE","59"
"MIN. ILMAR GALVÃO","MS","237"
"MIN. ILMAR GALVÃO","MI","25"
"MIN. ILMAR GALVÃO","Inq","92"
"MIN. ILMAR GALVÃO","IF","1"
"MIN. ILMAR GALVÃO","HC","788"
"MIN. ILMAR GALVÃO","Ext","56"
"MIN. ILMAR GALVÃO","EV","5"
"MIN. ILMAR GALVÃO","CR","2"
"MIN. ILMAR GALVÃO","CC","10"
"MIN. ILMAR GALVÃO","AR","219"
"MIN. ILMAR GALVÃO","AP","26"
"MIN. ILMAR GALVÃO","AO","107"
"MIN. ILMAR GALVÃO","AI","26984"
"MIN. ILMAR GALVÃO","ADPF","2"
