"sig_classe_proces","nom_ministro","total_decs"
"RMS","MIN. CARLOS VELLOSO","111"
"RMS","MIN. AYRES BRITTO","58"
"Rcl","VICE-PRESIDENTE","2"
"Rcl","MINISTRO PRESIDENTE","749"
"Rcl","MIN. SYDNEY SANCHES","197"
"Rcl","MIN. SEPÚLVEDA PERTENCE","834"
"Rcl","MIN. RICARDO LEWANDOWSKI","1782"
"Rcl","MIN. OCTAVIO GALLOTTI","128"
"Rcl","MIN. NÉRI DA SILVEIRA","218"
"Rcl","MIN. NELSON JOBIM","609"
"Rcl","MIN. MOREIRA ALVES","148"
"Rcl","MIN. MENEZES DIREITO","361"
"Rcl","MIN. MAURÍCIO CORRÊA","802"
"Rcl","MIN. MARCO AURÉLIO","2852"
"Rcl","MIN. LUIZ FUX","109"
"Rcl","MIN. JOAQUIM BARBOSA","1972"
"Rcl","MIN. ILMAR GALVÃO","248"
"Rcl","MIN. GILMAR MENDES","1099"
"Rcl","MIN. FRANCISCO REZEK","6"
"Rcl","MIN. EROS GRAU","1611"
"Rcl","MIN. ELLEN GRACIE","2025"
"Rcl","MIN. DIAS TOFFOLI","628"
"Rcl","MIN. CÁRMEN LÚCIA","1389"
"Rcl","MIN. CEZAR PELUSO","1400"
"Rcl","MIN. CELSO DE MELLO","1637"
"Rcl","MIN. CARLOS VELLOSO","1178"
"Rcl","MIN. AYRES BRITTO","1639"
"RvC","MINISTRO PRESIDENTE","4"
"RvC","MIN. SYDNEY SANCHES","20"
"RvC","MIN. SEPÚLVEDA PERTENCE","19"
"RvC","MIN. RICARDO LEWANDOWSKI","13"
"RvC","MIN. OCTAVIO GALLOTTI","17"
"RvC","MIN. NÉRI DA SILVEIRA","21"
"RvC","MIN. NELSON JOBIM","19"
"RvC","MIN. MOREIRA ALVES","19"
"RvC","MIN. MAURÍCIO CORRÊA","22"
"RvC","MIN. MARCO AURÉLIO","21"
"RvC","MIN. JOAQUIM BARBOSA","4"
"RvC","MIN. ILMAR GALVÃO","21"
"RvC","MIN. GILMAR MENDES","4"
"RvC","MIN. FRANCISCO REZEK","1"
"RvC","MIN. EROS GRAU","2"
"RvC","MIN. ELLEN GRACIE","5"
"RvC","MIN. DIAS TOFFOLI","1"
"RvC","MIN. CÁRMEN LÚCIA","3"
"RvC","MIN. CEZAR PELUSO","2"
"RvC","MIN. CELSO DE MELLO","12"
"RvC","MIN. CARLOS VELLOSO","15"
"RvC","MIN. AYRES BRITTO","3"
"SE","MINISTRO PRESIDENTE","2932"
"SE","MIN. NELSON JOBIM","2049"
"SE","MIN. MAURÍCIO CORRÊA","2512"
"SE","MIN. MARCO AURÉLIO","3862"
"SE","MIN. ILMAR GALVÃO","1"
"SE","MIN. ELLEN GRACIE","30"
"SE","MIN. CELSO DE MELLO","14"
"SE","MIN. CARLOS VELLOSO","3350"
"SEC","MINISTRO PRESIDENTE","33"
"SEC","MIN. SYDNEY SANCHES","32"
"SEC","MIN. SEPÚLVEDA PERTENCE","37"
"SEC","MIN. OCTAVIO GALLOTTI","17"
"SEC","MIN. NÉRI DA SILVEIRA","27"
"SEC","MIN. NELSON JOBIM","47"
"SEC","MIN. MOREIRA ALVES","26"
"SEC","MIN. MAURÍCIO CORRÊA","54"
"SEC","MIN. MARCO AURÉLIO","71"
"SEC","MIN. JOAQUIM BARBOSA","19"
"SEC","MIN. ILMAR GALVÃO","35"
"SEC","MIN. GILMAR MENDES","20"
"SEC","MIN. FRANCISCO REZEK","2"
"SEC","MIN. EROS GRAU","7"
"SEC","MIN. ELLEN GRACIE","44"
"SEC","MIN. CEZAR PELUSO","17"
"SEC","MIN. CELSO DE MELLO","29"
"SEC","MIN. CARLOS VELLOSO","96"
"SEC","MIN. AYRES BRITTO","12"
"SL","VICE-PRESIDENTE","4"
"SL","MINISTRO PRESIDENTE","316"
"SL","MIN. SEPÚLVEDA PERTENCE","2"
"SL","MIN. NELSON JOBIM","148"
"SL","MIN. MAURÍCIO CORRÊA","99"
"SL","MIN. MARCO AURÉLIO","21"
"SL","MIN. ILMAR GALVÃO","2"
"SL","MIN. ELLEN GRACIE","235"
"SL","MIN. DIAS TOFFOLI","1"
"SL","MIN. CEZAR PELUSO","10"
"SL","MIN. CELSO DE MELLO","1"
"SL","MIN. AYRES BRITTO","1"
"SS","VICE-PRESIDENTE","4"
"SS","MINISTRO PRESIDENTE","1816"
"SS","MIN. SEPÚLVEDA PERTENCE","3"
"SS","MIN. NELSON JOBIM","969"
"SS","MIN. MAURÍCIO CORRÊA","407"
"SS","MIN. MARCO AURÉLIO","1293"
"SS","MIN. ILMAR GALVÃO","26"
"SS","MIN. GILMAR MENDES","2"
"SS","MIN. ELLEN GRACIE","1094"
"SS","MIN. CEZAR PELUSO","50"
"SS","MIN. CELSO DE MELLO","11"
"SS","MIN. CARLOS VELLOSO","1680"
"SS","MIN. AYRES BRITTO","4"
"STA","VICE-PRESIDENTE","1"
"STA","MINISTRO PRESIDENTE","454"
"STA","MIN. SEPÚLVEDA PERTENCE","1"
"STA","MIN. NELSON JOBIM","109"
"STA","MIN. MAURÍCIO CORRÊA","42"
"STA","MIN. MARCO AURÉLIO","2"
"STA","MIN. ILMAR GALVÃO","2"
"STA","MIN. GILMAR MENDES","4"
"STA","MIN. ELLEN GRACIE","329"
"STA","MIN. CEZAR PELUSO","8"
"STA","MIN. AYRES BRITTO","7"
